前一节点,后一节点,线路名称,票价(元),间距(公里)
华林高架,地铁斗门,20路,1,
地铁斗门,华林四桥,20路,1,
华林四桥,省农行,20路,1,
省农行,屏东,20路,1,
屏东,屏山,20路,1,
屏山,省卫健委,20路,1,
省卫健委,鼓楼,20路,1,
鼓楼,南街,20路,1,
南街,道山路口,20路,1,
道山路口,南门,20路,1,
南门,茶亭,20路,1,
茶亭,洋头口,20路,1,
洋头口,省人民医院,20路,1,
省人民医院,文化宫,20路,1,
文化宫,中亭街,20路,1,
中亭街,青年广场,20路,1,
青年广场,轮工,20路,1,
轮工,苍霞嘉兴园,20路,1,
苍霞嘉兴园,师大,20路,1,
师大,仓山镇,20路,1,
仓山镇,福建第二轻工业学校,20路,1,
福建第二轻工业学校,福建船政交通职业学校,20路,1,
,,,,
火车站北广场,火车站南广场,22路,1,
火车站南广场,茶园,22路,1,
茶园,电建二公司,22路,1,
电建二公司,华林高架,22路,1,
华林高架,地铁斗门,22路,1,
地铁斗门,省农行,22路,1,
省农行,树兜,22路,1,
树兜,古三座,22路,1,
古三座,闽江饭店,22路,1,
闽江饭店,五四路口,22路,1,
五四路口,东街口,22路,1,
东街口,三坊七巷,22路,1,
三坊七巷,高峰桥,22路,1,
高峰桥,陆庄,22路,1,
陆庄,柳桥,22路,1,
柳桥,茶园山,22路,1,
茶园山,福大北门,22路,1,
福大北门,天骏小区,22路,1,
天骏小区,物构所,22路,1,
物构所,洪山桥,22路,1,
洪山桥,福建建筑学校,22路,1,
福建建筑学校,农林大学,22路,1,
农林大学,农大社区,22路,1,
农大社区,福建理工学校,22路,1,
福建理工学校,淮安上下店路口,22路,1,
淮安上下店路口,淮安高沙,22路,1,
淮安高沙,淮安公交总站,22路,1,
,,,,
福能总医院,孟超肝胆医院西洪院区(鸡角弄),23路,1,
孟超肝胆医院西洪院区(鸡角弄),西洪路,23路,1,
西洪路,九〇〇医院(原总院),23路,1,
九〇〇医院(原总院),熊猫世界,23路,1,
熊猫世界,双安城,23路,1,
双安城,福建博物馆,23路,1,
福建博物馆,梅峰宾馆,23路,1,
梅峰宾馆,左海公园,23路,1,
左海公园,三角井,23路,1,
三角井,省政府,23路,1,
省政府,屏东,23路,1,
屏东,省农行,23路,1,
省农行,华林四桥,23路,1,
华林四桥,地铁斗门,23路,1,
地铁斗门,湖塍,23路,1,
湖塍,洋下新村,23路,1,
洋下新村,东门村委,23路,1,
东门村委,东门,23路,1,
东门,省彩印厂,23路,1,
省彩印厂,长乐北路口,23路,1,
长乐北路口,乐西(东),23路,1,
乐西(东),王庄公交站总站,23路,1,
,,,,
尤溪洲(西)公交站,长寿社,25路,1,
长寿社,帮洲,25路,1,
帮洲,蓬埕,25路,1,
蓬埕,青年广场,25路,1,
青年广场,闽江之心(台州步行街),25路,1,
闽江之心(台州步行街),桥南,25路,1,
桥南,埔顶,25路,1,
埔顶,龙津,25路,1,
龙津,三叉街,25路,1,
三叉街,三叉街新村,25路,1,
三叉街新村,则徐大道盖山路口,25路,1,
则徐大道盖山路口,白湖亭,25路,1,
白湖亭,后坂,25路,1,
后坂,上洲,25路,1,
上洲,白湖村委,25路,1,
白湖村委,北园,25路,1,
北园,步卓,25路,1,
步卓,迎飞小区,25路,1,
迎飞小区,盖山跃进,25路,1,
盖山跃进,半田透,25路,1,
半田透,新安,25路,1,
新安,义序,25路,1,
义序,尚保,25路,1,
尚保,吴凤,25路,1,
吴凤,吴山,25路,1,
吴山,天水,25路,1,
天水,盘屿,25路,1,
盘屿,盘屿地铁站A口,25路,1,
盘屿地铁站A口,盘屿路,25路,1,
盘屿路,华威农产品交易中心,25路,1,
华威农产品交易中心,台屿地铁站,25路,1,
台屿地铁站,公交福湾站,25路,1,
,,,,
公交大学城总站,大学城师大西门,26路,1,
大学城师大西门,广贤路,26路,1,
广贤路,华南女院东门,26路,1,
华南女院东门,师大协和学院,26路,1,
师大协和学院,学府国屿,26路,1,
学府国屿,马保村,26路,1,
马保村,大学城闽江师专,26路,1,
大学城闽江师专,葛歧村,26路,1,
葛歧村,葛屿村,26路,1,
葛屿村,金山公交中心停车场,26路,1,
金山公交中心停车场,浦上建新南路口,26路,1,
浦上建新南路口,浦上大道,26路,1,
浦上大道,新筑社区,26路,1,
新筑社区,仓山万达广场,26路,1,
仓山万达广场,尤溪洲桥头,26路,1,
尤溪洲桥头,港头(闽江大道),26路,1,
港头(闽江大道),半道,26路,1,
半道,联建村,26路,1,
联建村,福建生态工程学校(洋洽),26路,1,
福建生态工程学校(洋洽),竹榄,26路,1,
竹榄,上渡,26路,1,
上渡,师大(程埔头),26路,1,
师大(程埔头),跑马场,26路,1,
跑马场,三叉街,26路,1,
三叉街,三叉街新村,26路,1,
三叉街新村,则徐大道盖山路口,26路,1,
则徐大道盖山路口,白湖亭,26路,1,
白湖亭,双湖二路,26路,1,
双湖二路,福田公司,26路,1,
福田公司,仓山科技园,26路,1,
,,,,
福大东门,西禅寺,27路,1,
西禅寺,闽江学院工业路校区,27路,1,
