前一节点,后一节点,线路名称,票价,区域属性,间距(km)
北大街玄武门大街口,平等街玄武门大街口,30路,1,老城区,
平等街玄武门大街口,平等街北口,30路,1,瀍河回族区,
,,,,,
瀛洲桥南,开元大道周山大道口东,34路,1.5,洛龙区,
开元大道周山大道口东,开元大道龙祥街口,34路,1.5,洛龙区,
开元大道龙祥街口,西杨屯,34路,1.5,洛龙区,
西杨屯,学子街开元大道口,34路,1.5,洛龙区,
学子街开元大道口,洛阳理工学院西区,34路,1.5,洛龙区,
洛阳理工学院西区,学子街洛宜路口,34路,1.5,洛龙区,
学子街洛宜路口,龙富小区站,34路,1.5,洛龙区,
龙富小区站,洛宜路学府街口,34路,1.5,洛龙区,
洛宜路学府街口,学府街古城路口,34路,1.5,洛龙区,
学府街古城路口,英才路古城路口,34路,1.5,洛龙区,
英才路古城路口,英才路凝碧北街口,34路,1.5,洛龙区,
英才路凝碧北街口,英才路龙兴街口,34路,1.5,洛龙区,
英才路龙兴街口,英才路积翠南街口,34路,1.5,洛龙区,
英才路积翠南街口,积翠南街王城大道口西,34路,1.5,洛龙区,
积翠南街王城大道口西,王城大桥南,34路,1.5,洛龙区,
王城大桥南,王城大道丽春东路口,34路,1.5,洛龙区,
王城大道丽春东路口,王城大道行署路口,34路,1.5,西工区,
王城大道行署路口,凯旋西路芳林路口,34路,1.5,西工区,
凯旋西路芳林路口,纱厂南路凯旋西路口,34路,1.5,西工区,
纱厂南路凯旋西路口,中州中路纱厂南路口,34路,1.5,西工区,
中州中路纱厂南路口,中州中路解放路口,34路,1.5,西工区,
中州中路解放路口,中州中路八一路口,34路,1.5,西工区,
中州中路八一路口,王城广场东,34路,1.5,西工区,
王城广场东,嘉豫门大街中州中路口,34路,1.5,西工区,
嘉豫门大街中州中路口,唐宫中路宫隅路口,34路,1.5,西工区,
唐宫中路宫隅路口,唐宫东路定鼎大道口,34路,1.5,西工区,
唐宫东路定鼎大道口,唐宫东路三通巷口,34路,1.5,老城区,
唐宫东路三通巷口,唐宫东路承福门大街口西,34路,1.5,老城区,
唐宫东路承福门大街口西,唐宫东路承福门大街口东,34路,1.5,老城区,
唐宫东路承福门大街口东,唐宫东路建安街口,34路,1.5,老城区,
唐宫东路建安街口,唐宫东路北大街口,34路,1.5,老城区,
