节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
金碧路天桥,五华区,玉带河,3,7
,,,,
松华坝水库,盘龙区,盘龙江,0,0
小河公路(桥),盘龙区,盘龙江,0,0
昆明绕城高速(盘龙江)(桥),盘龙区,盘龙江,0,0
玺龙街(桥),盘龙区,盘龙江,0,0
昆明瀑布公园,盘龙区,盘龙江,0,0
沣源路(桥),盘龙区,盘龙江,0,0
求实街(桥),盘龙区,盘龙江,0,0
巨龙桥,盘龙区,盘龙江,0,0
谷丰路(桥),盘龙区,盘龙江,0,0
霖雨路(桥),盘龙区,盘龙江,0,0
月牙潭公园,盘龙区,盘龙江,0,0
金色大道(桥),盘龙区,盘龙江,0,0
二环快速B线(桥),盘龙区,盘龙江,0,0
白云路(桥),五华区,盘龙江,0,0
小菜园立交桥,五华区,盘龙江,0,2
鼓楼路(桥),五华区,盘龙江,4,6
圆通大桥,五华区,盘龙江,4,12
人民中路(桥),五华区,盘龙江,4,6
东风东路(桥),五华区,盘龙江,6,10
宝善街(桥),五华区,盘龙江,4,10
拓东路(桥),五华区,盘龙江,0,10
环城南路(桥),五华区,盘龙江,0,0
官南立交桥,五华区,盘龙江,0,0
日新东路(桥),官渡区,盘龙江,0,0
广福路(桥),官渡区,盘龙江,0,0
六甲乡特大桥,官渡区,盘龙江,0,0
环湖东路(桥),官渡区,盘龙江,0,0
滇池,官渡区,盘龙江,0,0
,,,,
巫家坝车场,官渡区,98路,0,0
关景路,官渡区,98路,0,0
关上(民航路),官渡区,98路,0,1
官渡广场(民航路),官渡区,98路,1,1
关兴路口(民航路),官渡区,98路,1,1
五里多村,官渡区,98路,0,0
吴井路口(民航路),官渡区,98路,0,0
民航路,官渡区,98路,0,0
民航路口(环城南路),官渡区,98路,0,0
吴井桥(环城南路),官渡区,98路,0,0
双龙商场,官渡区,98路,0,0
巡津街,西山区,98路,2,9
金马坊,西山区,98路,6,20
靖国路口,西山区,98路,2,7
国防路,五华区,98路,1,13
艺术剧院,五华区,98路,6,18
小西门(东风西路),五华区,98路,3,10
百汇商场,五华区,98路,4,10
建设路2,五华区,98路,3,15
地台寺,五华区,98路,4,4
理工大学西门(建设路),五华区,98路,0,4
苏家塘路,五华区,98路,0,0
景秀庄园小区(虹山东路),五华区,98路,0,0
冶金学校,五华区,98路,0,0
苏家塘,五华区,98路,0,0
